,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
,39,30,2,3,10,1,13,1,23,15,10,21,45,14,30,6,5,16,30,19,1,35,22,31,8,10,7,18,23,34,68,52,6,61,29,32,25,6,3,12,2,6,15,2,16,59,5,3,2,12,6,31,61,30,1,39,21,3,6,15,14,8,8,17,53,16,28,9,14,9,36,25,1,45,69,49,25,7,2,4,60,1,38,3,7,9,8,13,4,5,4,7,10,1,27,10,10,1,1,1,13,53,71,6,2,1,15,6,58,7,10,11,28,9,2,5,13,1,5,1,24,13,2,9,11,1,7,35,4,12,9,12,7,47,70,4,9,2,14,7,12,5,1,75,1,5,15,27,15,9
,14,9,1,4,14,16,17,5,39,20,18,20,15,2,14,26,6,15,7,1,14,18,16,3,7,17,3,7,10,7,10,12,2,6,5,8,2,5,5,7,10,3,8,7,8,12,11,7,1,1,4,7,2,8,4,7,36,1,60,14,5,45,9,12,4,4,5,28,8,9,6,6,1,10,4,2,3,10,4,1,1,1,26,14,10,13,34,12,12,7,6,9,9,4,7,11,12,7,8,10,14,2,19,8,10,19,5,6,11,2,1,5,12,7,7,2,11,10,27,7,16,3,5,5,5,3,1,1,5,1,1,5,2,5,5,2,5,5,13,3,10,4,2,1,3,1,1,33,8,3
,5,2,10,14,22,2,4,6,4,48,3,17,20,1,4,6,1,4,79,6,8,14,63,11,6,19,6,27,21,15,1,6,34,43,8,1,4,42,9,25,4,4,9,30,2,9,26,8,3,16,5,29,7,20,14,24,3,9,10,15,13,12,19,20,1,9,4,1,5,6,8,45,1,50,10,13,23,3,9,5,6,10,6,10,8,11,10,10,10,3,10,9,5,5,6,10,5,18,6,17,6,16,5,29,6,5,9,10,5,35,5,25,12,4,6,15,6,31,2,6,23,14,58,3,20,6,15,24,32,22,9,9,79,4,15,5,1,5,13,4,3,32,13,4,4,30,16,6,3,11
,14,15,5,21,18,11,14,18,2,35,9,10,9,20,15,5,12,4,3,7,22,20,20,6,31,6,28,27,5,17,1,15,5,1,10,19,23,8,15,20,11,5,14,13,24,4,20,5,46,4,11,3,8,5,1,17,11,15,19,13,6,2,1,15,9,1,1,1,12,14,10,11,3,6,10,1,12,9,13,4,10,30,8,34,48,8,23,6,1,14,2,12,22,17,1,10,23,30,41,25,7,41,2,22,58,7,32,13,7,13,17,9,8,1,12,24,12,41,16,9,29,65,12,30,29,2,6,8,8,5,13,26,7,22,25,11,7,25,16,20,27,11,2,8,10,8,17,13,52,11
,71,43,44,9,28,12,5,5,11,18,33,1,32,21,40,4,6,4,13,13,6,7,51,7,15,5,23,5,10,10,12,8,5,18,1,1,1,21,18,6,15,20,7,6,26,5,20,7,8,7,3,3,8,5,20,4,17,6,7,1,7,10,30,19,11,25,35,6,7,30,7,5,5,75,5,7,3,1,8,5,3,3,13,5,7,7,24,7,21,4,8,14,18,16,19,7,15,7,7,14,10,7,37,4,44,8,9,13,6,10,5,5,5,5,5,55,8,5,5,5,28,2,13,5,11,40,35,9,3,8,8,59,5,5,5,5,5,29,11,22,7,9,5,5,15,3,43,8,9,23
,5,4,1,17,2,22,30,46,19,11,5,9,3,9,13,9,36,23,1,14,26,4,21,16,40,57,17,4,25,17,1,2,23,5,2,3,1,5,3,46,3,18,7,18,3,3,15,6,4,5,2,1,2,2,1,12,4,36,3,1,1,23,48,1,8,4,29,5,12,11,3,5,8,49,6,5,6,1,64,8,23,3,45,7,3,36,5,1,5,11,59,7,5,2,11,40,3,1,1,11,7,7,1,3,5,5,11,7,3,8,8,15,23,2,5,48,26,7,9,18,9,1,5,64,5,7,18,3,7,2,87,6,5,27,1,4,3,4,25,10,5,87,6,17,10,4,5,4,47,6
,41,6,28,22,4,6,7,11,37,2,15,6,2,16,15,12,9,5,2,2,10,1,45,16,2,1,2,1,2,27,12,20,2,5,5,28,38,5,16,4,2,4,2,14,1,59,6,7,6,1,1,2,6,8,5,3,8,5,2,2,5,2,5,8,5,4,4,1,25,7,4,3,5,2,37,12,6,5,5,2,1,2,13,4,8,7,2,4,3,3,10,7,10,26,14,14,2,6,2,2,2,1,6,14,5,3,2,6,4,2,5,2,3,4,5,2,4,4,35,15,2,2,2,9,5,9,2,111,12,9,6,5,8,4,7,5,5,11,23,52,8,11,3,29,26,8,2,5,21,19
,23,24,25,14,7,3,26,11,65,35,34,32,7,12,128,22,17,3,4,12,2,4,7,22,10,8,14,78,10,35,1,3,8,12,11,73,4,32,53,24,21,8,55,6,4,6,27,6,6,34,1,9,21,3,7,34,9,121,58,4,8,1,1,2,16,23,47,3,1,2,6,64,10,15,25,10,25,36,18,5,17,27,12,7,7,23,5,51,9,5,2,2,69,3,26,3,5,5,59,12,1,27,50,18,7,1,20,46,19,34,26,1,12,12,50,1,6,22,3,8,6,13,8,13,19,17,6,36,2,3,20,7,14,24,6,17,2,22,2,6,23,24,5,7,22,9,20,1,22,8
,17,33,60,2,19,9,43,6,20,18,5,7,4,11,17,11,15,15,11,14,6,7,12,1,2,27,21,5,6,5,23,6,2,4,5,17,13,6,6,10,52,3,32,13,9,5,31,5,36,8,12,16,27,39,23,5,2,82,2,16,10,26,26,8,11,35,17,17,19,2,2,13,15,16,10,43,53,10,16,16,16,37,10,22,1,2,9,16,18,5,41,8,5,1,12,26,36,24,24,8,29,6,11,25,6,5,20,22,1,1,1,10,5,10,22,1,8,8,1,9,32,8,8,2,5,9,16,16,18,1,13,5,6,26,21,5,23,5,40,3,6,9,1,8,8,8,2,4,16,9
,20,7,6,1,9,5,14,7,34,22,5,2,3,54,27,2,24,2,12,17,2,30,1,42,10,5,11,12,4,26,2,14,2,2,12,5,5,6,8,2,11,3,4,7,29,4,4,16,6,17,9,6,3,13,3,4,108,5,21,1,1,56,3,2,3,19,4,13,8,4,6,5,12,1,2,1,30,2,12,4,47,1,40,4,4,3,4,5,9,4,2,2,4,2,5,6,11,2,43,7,1,4,5,60,14,3,5,8,1,6,6,2,8,1,6,4,4,2,16,21,6,81,21,13,1,2,5,3,14,1,1,21,2,4,13,13,7,12,11,7,7,24,6,2,22,10,26,2,7,7
TFSocketAgent1 Average,24.9,17.3,18.2,10.7,13.3,8.7,17.3,11.6,25.4,22.4,13.7,12.5,14,16,30.3,10.3,13.1,9.1,16.2,10.5,9.7,14,25.8,15.5,13.1,15.5,13.2,18.4,11.6,19.3,13.1,13.8,8.9,15.7,8.8,18.7,11.6,13.6,13.6,15.6,13.1,7.4,15.3,11.6,12.2,16.6,16.5,7,11.8,10.5,5.4,10.7,14.5,13.3,7.9,14.9,21.9,28.3,18.8,8.2,7,18.5,15,10.4,12.1,14,17.4,8.4,11.1,9.4,8.8,18.2,6.1,26.9,17.8,14.3,18.6,8.4,15.1,5.4,18.4,11.5,21.1,11,10.3,11.9,12.4,12.5,9.2,6.1,14.4,7.7,15.7,7.7,12.8,13.7,12.2,10.1,19.2,10.7,9,16.4,20.7,18.9,15.7,5.7,12.8,13.7,11.5,11.8,8.4,8.5,11.6,5.5,12,15.7,9.8,13.1,11.9,9.9,17.5,20.2,13.4,15.3,11.1,9.6,11.1,24.6,10.5,6.4,16.7,15.5,13.5,16.8,16.8,7.1,6.7,12,16.8,13.4,10.8,21.6,4.4,15.6,12.1,8.6,14.7,10.3,20,10.6
TFSocketAgent1 Smoothed,,,,15.77142857,13.87142857,15.02857143,15.62857143,16.05714286,15.94285714,16.7,16.51428571,19.18571429,17.02857143,15.7,15.04285714,15.57142857,15.07142857,14.17142857,11.84285714,14.05714286,14.4,14.97142857,14.87142857,15.25714286,16.5,16.15714286,15.22857143,14.88571429,14.98571429,14.04285714,14.4,13.02857143,14.04285714,12.94285714,13.01428571,12.98571429,13.94285714,13.57142857,13.37142857,12.88571429,12.88571429,12.68571429,13.11428571,13.24285714,12.37142857,13,12.31428571,11.42857143,11.21428571,10.91428571,10.45714286,10.58571429,11.02857143,12.65714286,15.92857143,17.08571429,16.18571429,15.28571429,16.8,16.81428571,15.17142857,12.85714286,12.17142857,13.48571429,13.68571429,12.62857143,11.82857143,11.6,12.47142857,11.34285714,12.7,14.04285714,14.5,15.81428571,15.75714286,15.31428571,15.21428571,14,13.1,14.07142857,12.98571429,13.25714286,12.8,13.8,12.95714286,12.62857143,10.48571429,10.97142857,10.6,11.14285714,10.47142857,10.51428571,11.15714286,12.02857143,11.41428571,13.05714286,12.34285714,12.52857143,13.04285714,14.04285714,15,15.8,13.87142857,14.17142857,14.84285714,14.14285714,12.87142857,11.37142857,10.34285714,11.18571429,10.14285714,9.9,10.5,10.21428571,10.88571429,11.37142857,11.12857143,12.84285714,14.01428571,13.68571429,14.47142857,14.18571429,13.85714286,14.02857143,15.04285714,13.65714286,12.65714286,12.85714286,13.48571429,14.04285714,14.85714286,13.74285714,13.25714286,13.3,12.62857143,12.81428571,12.8,11.94285714,12.62857143,12.24285714,13.51428571,13.52857143,12.35714286,12.54285714,12.47142857,12.24285714,13.12857143,,,
Optimal,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44
Threshold=10 Avg. Opt.,,,,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,,,
Benchmark,,,,18.11428571,17.84285714,18.04285714,15.62857143,16.08571429,16.07142857,17.5,18.67142857,19.21428571,19.77142857,20.35714286,21.28571429,23.28571429,22.88571429,22.38571429,22.14285714,22.08571429,21.5,20.62857143,18.28571429,19.55714286,18.14285714,17.07142857,15.21428571,15.61428571,16.6,17.85714286,17.15714286,16.38571429,16.62857143,17.51428571,20.08571429,20.34285714,19.61428571,18.6,20.52857143,21.3,22.3,20.2,19.41428571,19.28571429,20.24285714,20.68571429,20.94285714,20.82857143,20.77142857,20.94285714,19.58571429,18.78571429,17.7,15.9,14.61428571,13.64285714,12.37142857,12.28571429,13.37142857,14.41428571,15.2,15.15714286,18.3,18.51428571,19.37142857,17.28571429,16.24285714,15.7,16.47142857,15.08571429,17.51428571,18.1,18.62857143,19.15714286,19.87142857,20.44285714,19.9,19.5,20.3,20.95714286,20.8,20.47142857,18.07142857,19.3,18.8,17.5,16.85714286,14.98571429,15.05714286,16.14285714,14.91428571,15.37142857,14.64285714,15.68571429,17.08571429,17.01428571,18.48571429,16.77142857,15,14.38571429,13.02857143,12.92857143,12.3,10.82857143,10.9,11.21428571,12.77142857,12.91428571,12.37142857,12.65714286,11.57142857,12.37142857,11.62857143,11.37142857,10.85714286,10.21428571,10.32857143,11.71428571,10.98571429,11.31428571,11.14285714,12.44285714,12.85714286,12.52857143,11.92857143,12.31428571,12.08571429,11.6,11.64285714,11.15714286,13,12.62857143,13.41428571,13.21428571,13.78571429,12.37142857,13.74285714,11.95714286,11.58571429,10.71428571,10.51428571,9.657142857,9.728571429,9.071428571,8.842857143,10.84285714,10.54285714,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
