,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Threshold=10 VS Benchmark (2/10 run),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random: ,,15.57142857,Benchmark Random:,,18.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Models: ,,13.33013556,Benchmark Models:,,11.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Models / Random: ,,0.856063751,Benchmark Mod/Ran:,,0.631169543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes: ,,53.9745,Benchmark Minutes:,,36.05925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Optimal: ,,3.211111111,Benchmark Avg. Opt.,,2.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area:,,1935.228571,Benchmark Area:,,2306.914286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alphabet: [a, b]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goal State: s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States: ,,"[s0, s1, s2, s3, s4, s5, s6, s7, s8, s9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digraph Number: ,,ONE,,TWO,,THREE,,FOUR,,FIVE,,SIX,,SEVEN,,EIGHT,,NINE,,TEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start States: ,,start -> s4,,start -> s2,,start -> s0,,start -> s4,,start -> s5,,start -> s1,,start -> s8,,start -> s4,,start -> s6,,start -> s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Sequence: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transitions: ,,s0 -> s7 [label=a],,s0 -> s3 [label=a],,s0 -> s7 [label=a],,s0 -> s1 [label=a],,s0 -> s5 [label=a],,s0 -> s0 [label=a],,s0 -> s0 [label=a],,s0 -> s5 [label=a],,s0 -> s9 [label=a],,s0 -> s7 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s0 -> s1 [label=b],,s0 -> s7 [label=b],,s0 -> s9 [label=b],,s0 -> s6 [label=b],,s0 -> s0 [label=b],,s0 -> s8 [label=b],,s0 -> s8 [label=b],,s0 -> s3 [label=b],,s0 -> s6 [label=b],,s0 -> s1 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s1 -> s5 [label=a],,s1 -> s9 [label=a],,s1 -> s2 [label=a],,s1 -> s6 [label=a],,s1 -> s8 [label=a],,s1 -> s1 [label=a],,s1 -> s6 [label=a],,s1 -> s6 [label=a],,s1 -> s7 [label=a],,s1 -> s1 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s1 -> s6 [label=b],,s1 -> s5 [label=b],,s1 -> s5 [label=b],,s1 -> s4 [label=b],,s1 -> s5 [label=b],,s1 -> s8 [label=b],,s1 -> s5 [label=b],,s1 -> s2 [label=b],,s1 -> s2 [label=b],,s1 -> s4 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s2 -> s9 [label=a],,s2 -> s2 [label=a],,s2 -> s6 [label=a],,s2 -> s9 [label=a],,s2 -> s3 [label=a],,s2 -> s0 [label=a],,s2 -> s4 [label=a],,s2 -> s3 [label=a],,s2 -> s0 [label=a],,s2 -> s8 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s2 -> s5 [label=b],,s2 -> s1 [label=b],,s2 -> s4 [label=b],,s2 -> s3 [label=b],,s2 -> s7 [label=b],,s2 -> s6 [label=b],,s2 -> s8 [label=b],,s2 -> s6 [label=b],,s2 -> s0 [label=b],,s2 -> s4 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s3 -> s3 [label=a],,s3 -> s4 [label=a],,s3 -> s6 [label=a],,s3 -> s2 [label=a],,s3 -> s6 [label=a],,s3 -> s6 [label=a],,s3 -> s7 [label=a],,s3 -> s4 [label=a],,s3 -> s8 [label=a],,s3 -> s0 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s3 -> s2 [label=b],,s3 -> s4 [label=b],,s3 -> s1 [label=b],,s3 -> s7 [label=b],,s3 -> s9 [label=b],,s3 -> s9 [label=b],,s3 -> s6 [label=b],,s3 -> s7 [label=b],,s3 -> s2 [label=b],,s3 -> s0 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s4 -> s8 [label=a],,s4 -> s6 [label=a],,s4 -> s7 [label=a],,s4 -> s0 [label=a],,s4 -> s0 [label=a],,s4 -> s1 [label=a],,s4 -> s1 [label=a],,s4 -> s8 [label=a],,s4 -> s7 [label=a],,s4 -> s3 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s4 -> s0 [label=b],,s4 -> s6 [label=b],,s4 -> s2 [label=b],,s4 -> s7 [label=b],,s4 -> s7 [label=b],,s4 -> s3 [label=b],,s4 -> s4 [label=b],,s4 -> s4 [label=b],,s4 -> s1 [label=b],,s4 -> s9 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s5 -> s2 [label=a],,s5 -> s3 [label=a],,s5 -> s0 [label=a],,s5 -> s0 [label=a],,s5 -> s8 [label=a],,s5 -> s3 [label=a],,s5 -> s1 [label=a],,s5 -> s1 [label=a],,s5 -> s3 [label=a],,s5 -> s2 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s5 -> s4 [label=b],,s5 -> s5 [label=b],,s5 -> s5 [label=b],,s5 -> s1 [label=b],,s5 -> s4 [label=b],,s5 -> s7 [label=b],,s5 -> s7 [label=b],,s5 -> s0 [label=b],,s5 -> s4 [label=b],,s5 -> s3 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s6 -> s8 [label=a],,s6 -> s1 [label=a],,s6 -> s8 [label=a],,s6 -> s4 [label=a],,s6 -> s4 [label=a],,s6 -> s2 [label=a],,s6 -> s3 [label=a],,s6 -> s9 [label=a],,s6 -> s4 [label=a],,s6 -> s8 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s6 -> s3 [label=b],,s6 -> s7 [label=b],,s6 -> s4 [label=b],,s6 -> s2 [label=b],,s6 -> s6 [label=b],,s6 -> s2 [label=b],,s6 -> s5 [label=b],,s6 -> s5 [label=b],,s6 -> s5 [label=b],,s6 -> s7 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s7 -> s7 [label=a],,s7 -> s2 [label=a],,s7 -> s0 [label=a],,s7 -> s8 [label=a],,s7 -> s3 [label=a],,s7 -> s5 [label=a],,s7 -> s0 [label=a],,s7 -> s2 [label=a],,s7 -> s8 [label=a],,s7 -> s6 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s7 -> s0 [label=b],,s7 -> s0 [label=b],,s7 -> s8 [label=b],,s7 -> s8 [label=b],,s7 -> s1 [label=b],,s7 -> s4 [label=b],,s7 -> s2 [label=b],,s7 -> s8 [label=b],,s7 -> s1 [label=b],,s7 -> s6 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s8 -> s6 [label=a],,s8 -> s8 [label=a],,s8 -> s1 [label=a],,s8 -> s5 [label=a],,s8 -> s2 [label=a],,s8 -> s5 [label=a],,s8 -> s3 [label=a],,s8 -> s0 [label=a],,s8 -> s3 [label=a],,s8 -> s5 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s8 -> s4 [label=b],,s8 -> s0 [label=b],,s8 -> s3 [label=b],,s8 -> s3 [label=b],,s8 -> s2 [label=b],,s8 -> s7 [label=b],,s8 -> s9 [label=b],,s8 -> s7 [label=b],,s8 -> s6 [label=b],,s8 -> s5 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Min steps to goal
from each state",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s0:,4,,4,,1,,3,,5,,4,,2,,4,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s1:,3,,1,,3,,3,,4,,4,,5,,2,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s2:,1,,2,,4,,1,,2,,5,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s3:,2,,4,,4,,2,,1,,1,,4,,4,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s4:,5,,3,,3,,4,,3,,2,,6,,5,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s5:,2,,5,,2,,4,,4,,2,,4,,3,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s6:,3,,2,,4,,2,,4,,6,,5,,1,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s7:,5,,3,,2,,4,,2,,3,,3,,3,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s8:,4,,5,,4,,3,,3,,3,,1,,4,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg-min-steps / FSM:,,3.222222222,,3.222222222,,3,,2.888888889,,3.111111111,,3.333333333,,3.555555556,,3.111111111,,3.333333333,,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,